LineId,Month,Date,Time,Level,Component,PID,Content,EventId,EventTemplate
1,Jun,9,6:06:20,combo,syslogd 1.4.1,,restart.,E1,restart.
2,Jun,9,6:06:20,combo,syslog,,syslogd startup succeeded,E2,<*> startup succeeded
3,Jun,9,6:06:20,combo,syslog,,syslogd shutdown succeeded,E108,<*> shutdown succeeded
4,Jun,9,6:06:20,combo,kernel,,"klogd 1.4.1, log source = /proc/kmsg started.",E3,"klogd <*>.<*>.<*>, log source = /proc/kmsg started."
5,Jun,9,6:06:20,combo,kernel,,Linux version 2.6.5-1.358 (bhcompile@bugs.build.redhat.com) (gcc version 3.3.3 20040412 (Red Hat Linux 3.3.3-7)) #1 Sat May 8 09:04:50 EDT 2004,E187,Linux version <*>.<*>.<*><*>.<*> (bhcompile@bugs.build.redhat.com) (gcc version <*>.<*>.<*> (Red Hat Linux <*>.<*>.<*><*>)) #<*> <*>:<*>:<*> EDT <*>
6,Jun,9,6:06:20,combo,kernel,,BIOS-provided physical RAM map:,E4,BIOS-provided physical RAM map:
7,Jun,9,6:06:20,combo,kernel,,BIOS-e820: 0000000000000000 - 00000000000a0000 (usable),E5,BIOS-e820: <*> - <*> (usable)
8,Jun,9,6:06:20,combo,kernel,,BIOS-e820: 00000000000f0000 - 0000000000100000 (reserved),E6,BIOS-e820: <*> - <*> (reserved)
9,Jun,9,6:06:20,combo,kernel,,BIOS-e820: 0000000000100000 - 0000000007eae000 (usable),E5,BIOS-e820: <*> - <*> (usable)
10,Jun,9,6:06:20,combo,kernel,,BIOS-e820: 0000000007eae000 - 0000000008000000 (reserved),E6,BIOS-e820: <*> - <*> (reserved)
11,Jun,9,6:06:20,combo,kernel,,BIOS-e820: 00000000ffb00000 - 0000000100000000 (reserved),E6,BIOS-e820: <*> - <*> (reserved)
12,Jun,9,6:06:20,combo,kernel,,0MB HIGHMEM available.,E7,<*> HIGHMEM available.
13,Jun,9,6:06:20,combo,kernel,,126MB LOWMEM available.,E8,<*> LOWMEM available.
14,Jun,9,6:06:20,combo,kernel,,zapping low mappings.,E9,zapping low mappings.
15,Jun,9,6:06:20,combo,kernel,,On node 0 totalpages: 32430,E10,On node <*> totalpages: <*>
16,Jun,9,6:06:20,combo,kernel,,"DMA zone: 4096 pages, LIFO batch:1",E11,"DMA zone: <*> pages, LIFO batch:<*>"
17,Jun,9,6:06:20,combo,kernel,,"Normal zone: 28334 pages, LIFO batch:6",E12,"Normal zone: <*> pages, LIFO batch:<*>"
18,Jun,9,6:06:20,combo,kernel,,"HighMem zone: 0 pages, LIFO batch:1",E13,"HighMem zone: <*> pages, LIFO batch:<*>"
19,Jun,9,6:06:20,combo,kernel,,DMI 2.3 present.,E14,DMI <*>.<*> present.
20,Jun,9,6:06:20,combo,kernel,,ACPI disabled because your bios is from 2000 and too old,E15,ACPI disabled because your bios is from <*> and too old
21,Jun,9,6:06:20,combo,kernel,,You can enable it with acpi=force,E16,You can enable it with acpi=force
22,Jun,9,6:06:20,combo,kernel,,Built 1 zonelists,E17,Built <*> zonelists
23,Jun,9,6:06:20,combo,irqbalance,,irqbalance startup succeeded,E2,<*> startup succeeded
24,Jun,9,6:06:20,combo,kernel,,Kernel command line: ro root=LABEL=/ rhgb quiet,E18,Kernel command line: ro root=LABEL=/ rhgb quiet
25,Jun,9,6:06:20,combo,kernel,,mapped 4G/4G trampoline to ffff3000.,E19,mapped 4G/4G trampoline to <*>.
26,Jun,9,6:06:20,combo,kernel,,Initializing CPU#0,E20,Initializing CPU#<*>
27,Jun,9,6:06:20,combo,portmap,,portmap startup succeeded,E2,<*> startup succeeded
28,Jun,9,6:06:20,combo,kernel,,"CPU 0 irqstacks, hard=02345000 soft=02344000",E21,"CPU <*> irqstacks, hard=<*> soft=<*>"
29,Jun,9,6:06:20,combo,kernel,,PID hash table entries: 512 (order 9: 4096 bytes),E22,PID hash table entries: 512 (order <*>: <*> bytes)
30,Jun,9,6:06:20,combo,kernel,,Detected 731.214 MHz processor.,E23,Detected <*>.<*> MHz processor.
31,Jun,9,6:06:20,combo,kernel,,Using tsc for high-res timesource,E24,Using tsc for high-res timesource
32,Jun,9,6:06:20,combo,kernel,,Console: colour VGA+ 80x25,E25,Console: colour VGA+ <*>
33,Jun,9,6:06:20,combo,kernel,,"Memory: 125312k/129720k available (1540k kernel code, 3860k reserved, 599k data, 144k init, 0k highmem)",E179,"Memory: <*> available (<*> kernel code, <*> reserved, <*> data, <*> init, <*> highmem)"
34,Jun,9,6:06:20,combo,kernel,,Calibrating delay loop... 1441.79 BogoMIPS,E198,Calibrating delay loop... <*>.<*> BogoMIPS
35,Jun,9,6:06:20,combo,kernel,,Security Scaffold v1.0.0 initialized,E26,Security Scaffold v<*>.<*>.<*> initialized
36,Jun,9,6:06:20,combo,kernel,,SELinux:  Initializing.,E27,SELinux:  Initializing.
