EventId,EventTemplate
E1,restart.
E2,<*> startup succeeded
E3,"klogd <*>.<*>.<*>, log source = /proc/kmsg started."
E4,BIOS-provided physical RAM map:
E5,BIOS-e820: <*> - <*> (usable)
E6,BIOS-e820: <*> - <*> (reserved)
E7,<*> HIGHMEM available.
E8,<*> LOWMEM available.
E9,zapping low mappings.
E10,On node <*> totalpages: <*>
E11,"DMA zone: <*> pages, LIFO batch:<*>"
E12,"Normal zone: <*> pages, LIFO batch:<*>"
E13,"HighMem zone: <*> pages, LIFO batch:<*>"
E14,DMI <*>.<*> present.
E15,ACPI disabled because your bios is from <*> and too old
E16,You can enable it with acpi=force
E17,Built <*> zonelists
E18,Kernel command line: ro root=LABEL=/ rhgb quiet
E19,mapped 4G/4G trampoline to <*>.
E20,Initializing CPU#<*>
E21,"CPU <*> irqstacks, hard=<*> soft=<*>"
E22,PID hash table entries: 512 (order <*>: <*> bytes)
E23,Detected <*>.<*> MHz processor.
E24,Using tsc for high-res timesource
E25,Console: colour VGA+ <*>
E26,Security Scaffold v<*>.<*>.<*> initialized
E27,SELinux:  Initializing.
E28,SELinux:  Starting in permissive mode
E29,"There is already a security framework initialized, register_security failed."
E30,Failure registering capabilities with the kernel
E31,selinux_register_security:  Registering secondary module capability
E32,Capability LSM initialized
E33,"Dentry cache hash table entries: <*> (order: <*>, <*> bytes)"
E34,"Inode-cache hash table entries: <*> (order: <*>, <*> bytes)"
E35,"Mount-cache hash table entries: <*> (order: <*>, <*> bytes)"
E36,Version <*>.<*>.<*> Starting
E37,"CPU: L1 I cache: <*>, L1 D cache: <*>"
E38,CPU: L2 cache: <*>
E39,Intel machine check architecture supported.
E40,Intel machine check reporting enabled on CPU#<*>.
E41,CPU: Intel Pentium III (Coppermine) stepping <*>
E42,Enabling fast FPU save and restore... done.
E43,Enabling unmasked SIMD FPU exception support... done.
E44,Checking 'hlt' instruction... OK.
E45,POSIX conformance testing by UNIFIX
E46,NET: Registered protocol family <*>
E47,"PCI: PCI BIOS revision <*>.<*> entry at <*>, last bus=<*>"
E48,PCI: Using configuration type <*>
E49,mtrr: v<*>.<*> (<*>)
E50,ACPI: Subsystem revision <*>
E51,ACPI: Interpreter disabled.
E52,Linux Plug and Play Support v<*>.<*> (c) Adam Belay
E53,usbcore: registered new driver usbfs
E54,usbcore: registered new driver hub
E55,ACPI: ACPI tables contain no PCI IRQ routing entries
E56,PCI: Invalid ACPI-PCI IRQ routing table
E57,Initializing random number generator:  succeeded
E58,PCI: Probing PCI hardware
E59,PCI: Probing PCI hardware (bus <*>)
E60,Transparent bridge - <*>
E61,PCI: Using IRQ router PIIX/ICH [<*>/<*>] at <*>
E62,audit(<*>.<*>:<*>): initialized
E63,"Total HugeTLB memory allocated, <*>"
E64,Starting pcmcia:  succeeded
E65,VFS: Disk quotas dquot_<*>.<*>.<*>
E66,SELinux:  Registering netfilter hooks
E67,Initializing Cryptographic API
E68,pci_hotplug: PCI Hot Plug PCI Core version: <*>.<*>
E69,isapnp: Scanning for PnP cards...
E70,isapnp: No Plug & Play device found
E71,Real Time Clock Driver v<*>.<*>
E72,Linux agpgart interface v<*>.<*> (c) Dave Jones
E73,agpgart: Detected an Intel i810 E Chipset.
E74,agpgart: Maximum main memory to use for agp memory: <*>
E75,agpgart: detected <*> dedicated video ram.
E76,HCI daemon ver <*>.<*> started
E77,Setting network parameters:  succeeded
E78,agpgart: AGP aperture is <*> @ <*>
E79,sdpd v<*>.<*> started
E80,Bringing up loopback interface:  succeeded
E81,Bluetooth: Core ver <*>.<*>
E82,Bluetooth: HCI device and connection manager initialized
E83,Bluetooth: HCI socket layer initialized
E84,Bluetooth: L2CAP ver <*>.<*>
E85,Bluetooth: L2CAP socket layer initialized
E86,Bluetooth: RFCOMM ver <*>.<*>
E87,Bluetooth: RFCOMM socket layer initialized
E88,Bluetooth: RFCOMM TTY layer initialized
E89,lp0: using parport0 (polling).
E90,lp0: console ready
E91,succeeded
E92,creating device node '/udev/<*>'
