LineId,Label,Timestamp,Date,User,Month,Day,Time,Location,Component,PID,Content,EventId,EventTemplate
1,-,1131670642,2005.11.10,bn129,Nov,10,16:57:22,bn129/bn129,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
2,-,1131670642,2005.11.10,bn130,Nov,10,16:57:22,bn130/bn130,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
3,-,1131670642,2005.11.10,bn131,Nov,10,16:57:22,bn131/bn131,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
4,-,1131670642,2005.11.10,bn132,Nov,10,16:57:22,bn132/bn132,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
5,-,1131670642,2005.11.10,bn132,Nov,10,16:57:22,bn132/bn132,shutdown,,shutting down for system halt,E1,shutting down for system halt
6,-,1131670642,2005.11.10,bn133,Nov,10,16:57:22,bn133/bn133,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
7,-,1131670642,2005.11.10,bn134,Nov,10,16:57:22,bn134/bn134,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
8,-,1131670642,2005.11.10,bn135,Nov,10,16:57:22,bn135/bn135,messagebus,,messagebus startup failed,E38,<*> startup failed
9,-,1131670642,2005.11.10,bn136,Nov,10,16:57:22,bn136/bn136,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
10,-,1131670642,2005.11.10,bn136,Nov,10,16:57:22,bn136/bn136,pbs_mom,,pbs_mom shutdown succeeded,E3,<*> shutdown succeeded
11,-,1131670642,2005.11.10,bn136,Nov,10,16:57:22,bn136/bn136,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
12,-,1131670642,2005.11.10,bn136,Nov,10,16:57:22,bn136/bn136,smartd,,smartd shutdown failed,E2,<*> shutdown failed
13,-,1131670642,2005.11.10,bn136,Nov,10,16:57:22,bn136/bn136,snmpd,2010,Received TERM or STOP signal... shutting down...,E8,Received TERM or STOP signal... shutting down...
14,-,1131670642,2005.11.10,bn136,Nov,10,16:57:22,bn136/bn136,sshd,2205,Received signal 15; terminating.,E6,Received signal <*>; terminating.
15,-,1131670642,2005.11.10,bn137,Nov,10,16:57:22,bn137/bn137,messagebus,,messagebus startup succeeded,E35,<*> startup succeeded
16,-,1131670642,2005.11.10,bn138,Nov,10,16:57:22,bn138/bn138,messagebus,,messagebus startup succeeded,E35,<*> startup succeeded
17,-,1131670642,2005.11.10,bn139,Nov,10,16:57:22,bn139/bn139,messagebus,,messagebus startup succeeded,E35,<*> startup succeeded
18,-,1131670642,2005.11.10,bn140,Nov,10,16:57:22,bn140/bn140,messagebus,,messagebus startup succeeded,E35,<*> startup succeeded
19,-,1131670642,2005.11.10,bn141,Nov,10,16:57:22,bn141/bn141,messagebus,,messagebus startup succeeded,E35,<*> startup succeeded
20,-,1131670642,2005.11.10,bn142,Nov,10,16:57:22,bn142/bn142,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
21,-,1131670642,2005.11.10,bn142,Nov,10,16:57:22,bn142/bn142,shutdown,,shutting down for system halt,E1,shutting down for system halt
